f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,labels
31.389,35.556,40,45.278,89.444,67.222,60,36.111,41.111,47.5,59.167,88.889,61.667,53.333,39.444,46.667,56.111,65.833,88.889,58.056,49.444,48.611,89.167,97.222,75.833,94.722,57.222,47.778,96.389,98.889,93.056,98.611,97.5,55,44.444,68.056,85.278,91.389,97.222,96.944,52.778,40.556,51.389,97.222,97.778,97.778,97.222,44.167,32.222,J
96.111,97.5,97.222,56.667,41.389,35.278,31.667,96.667,97.778,98.333,97.778,77.778,41.944,35.278,96.111,98.333,98.056,98.889,98.333,90.556,40,96.667,97.222,98.889,98.611,98.889,97.778,90.556,96.944,98.333,98.889,98.889,98.889,97.778,95.556,96.111,97.778,97.5,99.444,98.889,98.056,96.944,77.778,98.056,98.889,98.333,98.889,97.778,64.444,A
31.389,35.833,58.889,96.667,94.167,77.222,57.778,36.944,46.111,95,94.444,74.167,65.833,55.278,42.222,52.778,82.5,95.556,73.611,64.167,55.278,47.5,56.667,69.444,95,94.444,68.333,56.111,51.667,61.389,71.389,79.444,89.167,95.833,60.556,61.667,96.667,98.611,98.056,98.889,98.333,95.556,96.389,98.056,98.889,99.167,98.889,98.611,96.944,B
96.944,98.056,97.5,77.778,35.556,32.778,29.722,66.111,73.889,80,82.778,92.222,38.056,33.333,62.222,70.556,77.5,81.389,67.5,47.778,38.056,61.667,71.111,87.5,91.667,65.556,53.611,44.167,65.556,94.722,82.222,74.722,67.222,58.333,48.056,96.667,96.667,82.222,76.667,71.111,63.889,53.889,41.389,47.5,50,95.278,97.778,96.667,68.333,C
63.056,53.889,50.278,48.611,42.5,35.278,28.056,68.611,63.889,59.722,60.278,65.278,93.333,33.333,83.056,71.111,70,69.722,96.944,97.778,90.556,68.333,76.667,75.833,79.444,98.611,97.5,95,42.778,93.056,80,88.056,96.111,96.389,95.556,38.333,47.778,86.667,89.722,95.833,98.333,96.389,32.778,39.722,77.222,90.556,94.167,96.667,96.389,D
94.722,98.056,97.778,99.167,98.611,98.611,97.222,96.944,98.333,97.778,99.444,98.333,97.778,95.833,79.444,98.056,98.611,98.056,98.611,96.389,58.889,61.389,74.167,96.111,97.222,90.556,66.111,53.611,61.111,94.722,97.778,97.778,96.111,66.389,51.389,92.222,98.333,97.5,98.333,98.333,94.444,45.556,77.5,98.056,98.056,98.333,98.333,95.556,34.444,E
38.611,95.556,98.333,98.333,98.611,97.778,63.611,95.278,96.667,98.333,98.333,96.667,75.833,73.889,97.5,98.056,98.333,97.778,88.611,71.111,57.5,97.778,98.889,97.778,98.611,97.5,83.056,50.556,96.667,98.611,96.667,98.333,97.222,90.556,42.222,96.389,98.611,97.222,98.889,96.667,52.5,36.111,94.167,97.5,98.056,96.389,53.889,36.389,31.389,F
32.778,39.444,45.833,55.278,74.167,89.167,41.111,38.889,53.611,82.222,71.667,75.833,90.278,48.056,85.833,96.944,87.778,83.056,90.278,77.5,56.667,97.5,95.556,91.389,89.444,98.056,98.056,96.944,95,94.722,91.111,99.444,97.778,98.056,96.111,96.944,93.889,93.611,98.333,98.333,97.222,63.611,60,97.5,98.056,97.778,96.111,45.556,36.111,G
88.611,98.056,98.333,98.333,98.333,94.167,39.167,96.667,98.333,98.889,98.889,98.889,97.778,90.556,97.778,98.889,98.889,98.889,98.889,97.778,95,79.722,98.056,98.889,98.333,76.667,98.333,95.556,41.667,49.722,56.389,61.389,68.056,95,94.444,35.833,42.222,47.5,52.778,61.111,95,91.944,31.667,36.389,40.556,43.889,51.111,95,94.444,H
95.556,65.278,57.5,54.444,52.222,49.167,39.444,76.389,71.667,65.556,63.611,64.444,69.444,96.944,86.389,77.222,73.056,70.833,73.611,97.222,92.5,95,80.556,79.444,96.667,93.889,57.5,46.389,95.556,97.222,92.5,63.611,56.389,48.056,40.278,95.556,96.667,75,58.056,48.611,42.222,35.833,93.611,97.222,93.611,49.722,41.667,36.389,31.389,I
31.944,37.5,40.278,45.278,50.833,58.611,90,37.5,44.167,50.833,57.5,61.389,67.5,93.333,52.778,96.944,97.778,98.889,76.944,74.722,97.222,97.778,98.333,97.778,91.667,98.333,81.944,97.222,96.111,98.056,77.778,81.944,88.056,89.444,92.222,48.611,59.444,73.056,82.778,87.778,89.722,65.278,38.333,49.444,75.556,88.333,90.556,90.833,34.722,J
41.667,53.333,58.333,73.889,95.556,48.056,37.5,96.111,98.333,81.667,81.389,89.722,97.5,47.5,97.222,98.611,90.278,87.778,90,97.778,95.833,96.667,96.944,91.944,91.944,90.278,92.5,96.667,96.667,96.389,93.333,93.889,92.778,93.056,96.667,96.111,95.556,95.278,94.167,94.167,93.333,95.556,45.556,97.5,98.333,98.333,98.333,96.111,41.111,A
94.167,94.167,97.778,93.889,46.111,37.778,31.944,78.611,95.556,86.111,73.333,54.444,44.722,37.5,67.778,81.944,96.111,96.944,80.278,51.389,42.5,96.111,94.167,88.889,90,90.833,95,46.944,97.222,87.222,86.667,87.5,88.889,91.111,93.889,78.889,82.5,79.722,85,88.333,92.222,92.222,82.778,91.389,69.444,81.667,92.5,94.444,94.722,B
94.722,97.222,80.278,43.889,36.111,33.056,29.722,61.389,69.444,77.222,96.111,50.556,36.389,33.056,56.111,65.556,72.5,91.667,95.556,45.556,36.111,53.611,63.333,71.944,85.833,94.167,53.333,41.944,50.833,65,85.833,91.667,72.778,58.889,48.056,46.944,93.889,95,81.944,74.167,66.389,55,29.444,53.056,97.222,98.611,98.333,98.056,97.222,C
93.611,92.5,91.389,86.944,63.333,42.222,33.889,93.056,91.389,88.611,83.056,70.833,58.333,43.056,96.389,91.944,90.556,92.5,97.778,97.778,94.444,97.778,93.889,94.167,99.444,97.778,98.333,97.778,97.5,95,98.333,99.444,98.889,98.333,97.778,93.611,97.778,98.889,97.222,98.889,97.5,95,39.722,67.222,97.222,98.056,97.222,68.333,38.333,D
39.167,61.944,91.111,98.056,98.611,97.778,80,49.722,94.444,98.333,98.611,98.333,98.611,96.389,53.333,97.222,98.056,98.333,98.333,96.111,53.333,92.222,97.778,97.778,92.5,68.333,56.667,46.667,66.389,96.667,97.222,96.111,68.056,50.556,40.278,97.222,97.5,98.333,98.333,91.111,40.278,34.167,96.944,98.056,97.778,93.056,38.333,34.444,30.556,E
37.222,95,98.333,98.333,98.333,97.778,72.778,86.389,98.056,98.333,98.333,98.333,95.278,62.778,96.111,98.333,98.056,98.889,96.944,76.944,60,96.667,98.333,98.333,98.333,96.111,69.167,60.278,97.778,98.889,98.333,98.333,96.667,72.222,63.056,96.667,98.333,98.333,98.333,97.778,78.333,75.833,41.389,95.278,98.611,98.611,98.611,98.611,96.389,F
36.944,43.333,47.222,53.889,90.833,48.611,36.111,46.944,49.167,54.444,60.833,91.944,53.611,42.5,56.667,59.722,63.889,68.333,93.333,57.222,47.5,73.333,69.167,70.833,75,93.611,65,51.389,96.111,79.444,78.611,79.722,87.222,97.5,79.444,45.833,96.111,98.333,98.889,86.944,98.889,97.778,36.667,46.667,96.111,98.056,98.333,97.778,96.111,G
95.556,98.333,98.333,98.333,97.5,41.944,34.444,96.667,98.889,98.056,98.889,97.778,90.556,39.444,77.5,98.056,98.056,97.778,98.333,94.444,44.722,43.889,58.056,67.778,63.333,66.389,94.722,48.333,38.056,43.333,50.556,54.722,59.722,76.944,53.611,33.889,38.056,43.333,46.944,52.222,59.167,89.167,29.444,34.167,37.5,41.389,44.444,50,91.944,H
91.389,58.611,53.056,50.278,46.111,42.5,35.278,92.5,66.389,60.556,58.056,55,53.889,51.667,97.222,80.833,98.889,99.444,98.333,98.611,97.5,89.444,94.722,96.111,69.444,60.278,55,47.5,96.111,94.167,96.389,61.389,52.5,46.667,40.556,96.667,95.278,95,52.5,46.111,40.556,35.833,93.611,96.667,59.167,44.167,40,35.556,31.111,I
38.889,62.222,92.222,57.222,48.056,42.5,35.278,48.056,62.5,77.778,96.111,96.389,56.944,44.444,55.833,95.556,90.556,88.611,93.611,98.611,96.944,96.944,98.333,97.778,99.444,94.167,95,97.778,97.222,98.611,98.889,98.611,98.056,98.056,68.333,62.5,75.833,93.889,97.222,96.944,46.667,39.722,48.056,85,95.833,53.333,43.056,38.889,33.611,J
35.833,43.889,95.278,98.056,97.778,90.833,42.222,48.611,96.944,98.611,98.333,98.889,98.056,77.778,96.111,97.778,98.889,99.167,98.889,98.333,96.389,97.222,98.333,98.889,98.889,98.889,98.056,96.111,97.222,98.333,98.889,98.611,98.889,97.778,94.444,97.5,98.056,98.889,98.889,98.889,97.778,92.5,94.167,98.056,98.333,98.056,96.667,49.722,35,A
35.556,44.167,96.389,96.389,96.667,45.833,35.833,41.389,59.444,91.944,82.5,71.667,53.333,41.944,49.167,62.222,76.389,92.222,70.556,58.056,46.389,56.944,69.722,79.722,85.556,96.389,94.444,53.056,96.667,93.889,92.222,91.944,93.889,94.722,95.556,96.111,93.333,85.556,89.444,92.5,95,95.556,49.722,96.667,64.722,87.222,96.389,96.944,96.111,B
93.611,78.889,41.111,37.778,35.278,31.944,29.167,61.111,75.278,95,43.056,39.167,35.833,32.222,56.944,68.333,75.556,91.389,43.889,38.889,34.444,57.222,70.278,81.944,89.444,52.778,43.889,38.333,64.167,93.889,88.056,72.222,60.556,50.556,41.667,92.5,97.5,96.944,76.389,69.722,62.778,48.611,30.833,42.222,46.389,49.722,51.944,56.389,92.778,C
93.889,70.278,56.111,50.278,46.389,37.5,31.667,94.444,74.444,66.944,63.889,97.222,96.111,36.944,97.222,80,78.611,84.722,97.222,96.667,55,97.5,85.278,84.722,89.167,97.5,96.667,67.778,86.667,88.333,87.778,90.833,96.389,64.722,56.111,94.167,89.167,90,91.944,91.944,51.667,42.222,96.667,90.833,98.056,97.222,49.444,41.389,35,D
96.667,98.333,98.611,98.889,98.611,96.944,54.444,97.222,98.333,98.889,99.444,98.056,98.333,96.667,97.5,98.611,98.333,98.611,97.778,77.5,63.056,68.056,96.389,97.5,95.556,80,71.667,57.5,92.778,98.333,98.333,98.333,98.056,80,54.722,95.556,98.333,98.889,97.778,98.889,97.222,51.944,65.833,97.778,98.611,98.333,98.056,68.889,33.333,E
40.833,96.111,98.333,98.056,79.167,76.389,72.778,95,97.778,98.333,96.667,75.278,68.889,60,96.667,98.056,97.222,96.111,71.667,64.722,54.167,96.667,98.056,97.222,93.056,71.111,63.056,53.056,96.667,97.778,97.222,91.111,73.889,64.167,51.111,97.5,98.333,97.778,98.056,81.389,78.056,46.944,77.5,98.056,98.611,98.333,98.333,93.333,33.889,F
41.944,53.056,77.222,76.944,53.611,46.944,38.611,58.611,66.111,77.5,97.5,98.056,97.778,96.667,97.778,80.833,81.111,99.444,97.778,98.333,97.778,96.111,88.333,85.833,97.5,97.222,98.333,96.389,91.667,97.778,90,93.056,96.944,97.222,96.667,44.444,95.833,91.944,92.222,95.278,96.667,92.5,35.833,46.389,96.111,93.056,94.167,67.778,38.889,G
96.944,98.333,98.889,98.889,98.889,98.056,96.111,96.667,98.056,98.889,99.444,97.778,98.333,96.667,79.444,97.778,98.889,98.611,98.889,98.333,96.111,45.278,55.833,63.333,70.833,79.167,93.611,56.944,40,48.056,56.111,65.833,90,91.667,51.667,36.111,41.667,48.889,63.333,95,59.722,46.944,31.667,34.722,40.278,67.222,93.889,62.222,39.722,H
94.444,58.056,51.389,47.5,44.444,39.722,33.889,95,67.222,59.444,55.556,52.222,48.056,41.944,97.5,98.611,98.333,97.778,60,58.333,56.389,94.722,97.5,98.333,98.056,96.111,62.5,53.889,57.5,95.833,97.5,97.778,93.056,52.222,43.056,49.444,95.556,97.5,96.944,52.222,44.167,36.944,39.722,91.944,96.389,58.056,41.944,37.5,32.778,I
84.444,82.778,84.444,87.222,96.667,93.611,39.444,68.056,76.944,82.778,85.278,88.611,90.278,91.667,63.333,75,81.667,87.222,89.167,91.389,91.389,66.111,82.778,86.111,89.722,90.278,91.944,91.667,96.944,97.222,98.056,98.611,94.722,93.611,96.111,97.778,97.778,80.556,70.556,97.778,97.778,58.611,41.667,52.778,53.056,57.222,80.833,94.167,44.444,J
37.222,86.944,97.5,98.333,97.5,77.778,39.167,60.556,97.778,98.889,98.333,98.889,98.056,77.778,96.111,98.056,98.889,98.889,98.889,98.056,96.389,97.222,98.333,98.889,99.444,98.889,98.333,97.222,97.222,98.333,98.889,99.444,98.889,98.333,97.222,97.222,98.333,98.889,99.167,98.889,98.056,96.111,94.167,98.333,98.333,98.333,98.333,93.056,43.333,A
95.833,96.389,51.389,42.778,39.444,35.556,30.833,59.167,74.167,80,79.722,45.278,40.556,35.556,54.722,64.444,71.944,77.778,95,48.611,39.722,51.667,61.389,71.111,77.222,81.944,92.222,50.278,49.444,62.778,73.611,80.556,84.444,88.889,96.667,46.111,76.389,97.778,97.5,98.333,98.333,95.556,37.222,95.556,98.333,98.333,97.778,97.5,51.111,B
96.389,95.833,48.056,42.5,36.111,32.5,29.167,60,69.167,80,95.556,45.833,35.833,32.5,54.444,64.722,71.667,77.222,93.056,49.167,35,50.556,62.5,70.278,76.944,81.389,89.444,42.222,48.611,62.778,73.333,79.444,94.167,64.722,48.889,39.167,76.389,95.833,89.444,78.611,67.778,55.556,29.722,39.722,81.111,98.056,98.333,98.056,95,C
69.444,61.111,59.444,62.222,82.778,97.778,96.111,76.389,71.111,69.444,72.778,97.778,98.333,97.222,80.556,77.5,76.389,79.444,97.778,97.778,96.667,82.5,82.222,81.389,83.056,97.778,96.944,66.667,96.389,83.889,85.278,86.667,91.111,96.389,44.167,93.056,86.944,86.389,86.944,97.778,66.667,38.056,67.222,97.222,98.333,97.778,93.056,38.889,32.778,D
85.833,97.5,98.056,97.222,98.611,97.222,96.111,96.667,98.333,97.778,99.444,97.778,98.056,96.389,97.222,98.333,98.611,99.444,97.778,98.056,96.111,64.167,96.944,98.611,98.333,98.333,97.5,55,65.278,97.5,98.333,98.056,97.5,61.944,45,50,75.833,96.667,97.778,96.389,48.889,37.778,43.889,95,97.778,97.222,63.056,37.5,32.222,E
36.944,57.778,97.778,98.333,98.333,98.056,77.778,63.333,97.778,98.889,98.333,98.889,97.778,96.111,96.667,98.333,98.333,97.778,97.222,74.722,65.556,97.778,97.778,98.333,98.333,90,70.556,57.778,97.778,97.5,97.778,97.778,79.722,71.389,53.889,97.778,98.333,98.333,98.889,97.5,96.389,52.222,79.167,98.056,97.778,98.056,98.333,92.778,33.889,F
36.111,45.833,95.278,65,48.889,42.5,35.833,42.5,53.889,95.833,72.5,61.111,56.111,44.722,47.5,67.222,97.778,98.611,98.333,98.611,96.944,51.944,66.944,96.944,96.944,94.722,95.556,95,58.889,68.889,82.778,88.056,92.222,93.056,92.222,74.722,75,81.944,86.944,89.444,94.722,63.611,54.722,97.778,87.778,87.778,97.778,57.5,36.389,G
48.611,96.667,98.333,98.333,98.889,97.778,53.333,96.944,98.889,98.889,98.889,98.889,97.778,93.333,97.5,98.889,98.889,98.889,98.333,97.778,95,53.333,60.556,63.889,66.944,70.278,81.389,96.944,40.833,48.889,55,60,65,70.833,95.556,35.833,41.667,47.778,53.333,59.444,68.333,95.556,31.389,35.833,40.556,45.278,51.667,73.056,95.833,H
92.778,57.222,50.278,45.833,42.5,38.056,32.222,94.444,64.722,58.333,53.889,50.278,45,38.333,70.278,68.889,64.722,61.111,58.889,55.556,51.389,52.5,88.889,96.944,81.667,71.111,64.722,61.667,46.667,95.556,97.222,95,62.5,53.889,44.722,39.722,91.667,95.556,94.444,53.333,45.833,37.5,33.889,42.222,96.389,90.278,44.167,38.889,32.778,I
94.167,96.667,58.333,45.556,41.111,37.222,31.944,62.5,71.111,79.167,96.389,76.944,42.778,36.944,58.889,68.611,75,80.556,89.444,92.778,43.056,58.056,68.889,77.778,83.056,86.389,87.778,95,59.722,92.222,89.444,87.778,87.778,90,95.833,94.444,97.778,98.056,98.889,93.056,92.5,97.5,94.167,73.889,58.611,95.833,98.889,97.778,92.5,J
40,58.333,97.778,98.333,98.333,98.333,94.167,85.833,97.5,97.778,98.889,98.611,98.611,97.222,96.111,98.333,97.778,99.444,98.333,98.333,96.389,96.389,98.333,96.944,99.444,97.5,97.5,95.556,96.944,98.333,98.889,99.444,97.778,98.056,96.389,96.944,98.056,98.889,98.889,98.889,97.222,56.389,55.278,97.5,98.056,98.056,97.5,53.889,36.389,A
96.111,96.944,77.222,44.722,40.556,36.111,31.389,54.444,64.444,71.389,92.5,46.389,41.389,36.111,50,58.611,66.667,73.333,93.889,47.222,40.556,45.556,55.278,64.444,74.167,80.556,93.889,49.167,41.667,51.667,66.944,84.444,97.222,98.056,96.111,35.833,43.889,92.778,98.333,98.333,97.222,97.222,31.667,35.556,56.389,97.778,98.056,97.778,97.222,B
93.889,95.556,47.778,40.833,35.278,32.5,29.167,63.611,72.222,92.778,79.722,41.667,35.278,32.5,61.111,69.167,75,79.167,93.889,40.278,35,60.278,68.611,75,78.889,91.667,56.111,39.444,63.056,71.111,76.944,95,81.667,59.444,46.667,73.333,95.556,93.333,83.056,74.167,64.167,52.5,96.944,98.611,98.889,98.889,98.333,97.5,64.722,C
68.056,58.889,54.167,53.333,51.389,51.111,48.333,74.167,67.5,63.611,63.333,63.333,98.056,96.667,76.111,72.5,70,71.667,96.944,97.5,96.944,96.111,77.5,76.944,77.778,98.056,97.778,95,77.222,79.167,80.833,84.444,98.333,96.389,46.667,42.778,94.167,83.611,88.056,96.111,66.111,38.056,35,76.389,97.5,89.722,92.222,38.056,32.222,D
33.889,88.056,96.944,98.889,97.778,98.889,97.5,46.389,95.556,97.778,98.056,96.944,97.5,95.278,53.333,74.444,97.222,98.056,97.5,93.889,50.833,62.222,78.333,97.222,96.111,70.278,55.278,45.833,97.5,98.056,97.778,97.5,64.722,48.611,40.278,97.778,96.944,97.222,98.333,90,42.778,35.556,95.833,97.5,97.5,95.556,42.5,35.556,30.833,E
92.5,98.056,98.889,98.889,98.889,98.889,97.778,96.667,98.333,98.889,98.889,98.889,97.778,92.5,97.778,97.778,97.778,98.333,94.444,75,63.889,97.778,97.778,97.778,97.778,87.222,75.556,63.333,97.778,98.333,98.889,98.333,86.111,87.778,93.333,95.556,97.778,97.778,98.889,98.889,98.333,97.222,41.944,94.722,98.333,98.056,98.611,98.333,92.778,F
93.333,61.944,58.056,55.278,54.722,58.056,94.444,96.389,69.722,66.944,65,66.111,86.111,89.722,82.222,76.389,72.778,72.778,75.556,96.944,72.222,97.222,79.722,77.778,77.5,96.111,72.5,57.778,96.111,81.667,80.833,82.222,91.111,70.833,59.167,39.444,94.167,97.778,98.333,97.5,80,66.111,32.5,38.889,44.722,80,97.5,98.333,97.222,G
44.167,96.944,97.778,97.222,97.222,95.556,41.667,96.944,96.944,95.833,97.5,97.222,95,47.222,96.944,94.722,95.278,96.389,96.111,97.5,77.222,77.5,98.056,98.889,96.667,98.056,97.222,72.778,38.611,47.5,54.722,60.556,68.611,95,57.778,34.167,39.722,44.444,50.833,62.778,93.889,59.167,30.556,35,37.778,41.667,45,93.889,67.222,H
92.222,60,51.389,45.556,42.5,38.333,32.5,88.611,65.833,58.889,55.278,49.722,44.722,37.778,76.389,70.278,65,62.5,58.333,55.833,50.278,80.278,98.333,98.056,99.167,98.056,95,58.889,91.389,96.389,69.722,61.944,55.278,51.111,43.056,94.444,96.389,66.667,53.611,46.944,43.333,36.111,96.389,96.389,49.167,45,40,36.944,31.667,I
34.722,41.389,65.278,96.111,58.611,41.944,35,40.556,48.333,60.278,77.5,94.167,51.111,40.556,44.167,53.889,63.056,73.056,80,95.556,45.833,48.889,59.444,68.333,75.278,80.833,95,90,60.556,97.222,98.889,98.333,98.889,96.111,96.944,96.944,74.444,70.833,75.833,98.333,98.056,96.111,97.222,59.722,59.167,63.611,97.778,96.944,55,J
58.611,97.222,98.333,98.333,98.611,96.944,48.611,96.667,98.056,98.889,99.444,98.889,98.611,96.944,96.667,98.333,98.889,99.444,98.056,98.333,96.667,96.667,98.333,98.333,99.444,97.778,98.333,96.667,96.667,98.056,98.889,98.056,97.778,97.778,91.944,97.222,98.889,97.5,98.889,97.778,95,41.111,94.167,97.778,98.333,97.778,93.056,41.667,35,A
42.5,92.222,97.222,96.111,47.222,41.389,35,48.333,61.389,76.111,82.778,96.389,76.944,42.222,50,60.278,69.444,76.111,81.389,95.833,93.333,51.389,60.556,68.333,75.556,79.722,83.611,93.333,53.611,63.333,70.278,76.667,80.278,83.333,91.389,60.556,71.111,77.778,97.222,98.333,98.056,93.056,97.222,98.333,98.333,98.889,97.778,64.722,39.167,B
68.889,76.389,94.167,76.944,35.556,32.5,30,60.556,70.278,77.222,81.944,47.222,37.5,32.5,56.389,69.444,76.944,89.722,54.722,44.167,36.944,58.889,74.167,90.278,69.722,58.611,49.722,41.111,77.222,83.889,81.944,69.722,62.222,54.722,46.111,32.778,43.611,49.722,94.444,65.556,59.167,50.556,28.611,36.111,40.556,44.722,48.056,92.5,60,C
72.222,60,55.556,54.167,51.667,51.111,48.333,75,68.056,64.722,65.278,65.278,93.611,95.833,77.5,73.611,71.944,73.333,97.222,97.222,96.667,78.611,78.611,76.667,78.611,97.222,97.778,95,92.222,81.111,82.222,84.167,97.778,96.667,66.389,40.833,91.667,84.722,88.056,91.944,94.722,40.556,34.167,45.278,96.944,97.778,96.944,43.889,33.889,D
86.667,98.056,98.889,98.333,98.889,98.333,95.278,97.222,98.333,98.889,99.444,98.056,98.056,96.389,96.667,98.333,98.889,98.889,98.889,97.778,90.556,52.5,80,98.056,98.333,98.056,97.5,56.667,43.611,56.667,94.444,97.778,97.222,71.944,54.444,36.667,45.278,96.111,97.778,97.778,96.111,53.056,31.667,36.389,45.278,96.944,98.056,97.222,48.611,E
68.611,97.778,98.333,98.333,98.056,76.944,43.889,95.833,96.944,98.889,98.611,98.333,97.222,64.167,97.222,98.333,98.333,99.444,97.778,98.056,96.111,97.222,98.889,98.333,98.889,97.778,97.778,91.944,97.778,98.333,97.778,98.611,96.389,60.833,47.222,96.944,97.778,97.222,96.111,65.833,51.944,40,96.389,97.778,98.333,96.944,81.111,42.778,34.167,F
96.389,67.222,61.111,58.889,60.278,66.389,91.389,85.278,75.556,69.722,68.333,69.167,74.722,89.167,84.444,79.722,76.389,75.278,75.278,96.944,61.667,85.278,83.889,79.722,80.278,79.167,95,58.333,96.389,85.556,83.056,83.056,87.5,90.556,60.833,93.611,98.333,85.833,85.833,98.611,97.778,84.444,35.833,45.278,58.056,98.056,98.056,98.333,97.5,G
43.889,96.389,98.056,97.5,80,46.389,37.5,96.667,96.389,96.111,95.833,95.556,58.611,47.222,97.5,93.056,93.889,95.833,97.778,73.611,96.389,81.111,91.944,95,95.833,96.944,97.5,96.111,44.722,56.389,62.222,69.167,96.111,70.556,59.722,35.833,44.167,50.556,59.444,93.889,67.5,53.889,31.111,36.944,41.111,46.111,92.222,72.222,49.444,H
45.833,90.833,55,47.222,42.5,37.222,32.222,85,75.556,63.333,55.556,50.278,43.611,37.222,90.833,75.278,68.333,61.389,58.056,54.444,44.444,79.444,76.111,71.944,70.833,69.167,72.222,95.278,85.278,98.333,98.056,98.889,98.056,94.444,46.667,92.222,93.889,60,53.889,48.056,43.889,36.111,96.667,90.278,49.167,45,41.389,36.667,31.667,I
34.167,40.278,62.5,96.111,79.167,43.889,36.667,39.444,48.056,63.889,80.278,93.333,92.778,46.111,43.056,86.389,98.056,98.611,88.889,96.667,96.667,46.944,96.667,98.333,98.889,98.889,95.278,97.222,54.444,93.611,91.389,94.167,97.222,97.5,96.944,60.833,80.278,90,95,98.333,97.778,95,97.5,98.889,98.889,98.889,98.611,97.5,42.778,J
35,42.222,88.611,97.5,98.056,97.222,56.944,40.833,91.944,97.778,98.333,97.778,98.333,96.111,72.778,97.222,97.778,98.333,98.333,97.778,97.222,95.556,97.778,98.333,99.167,98.889,98.333,96.944,96.667,98.333,98.889,99.444,97.778,98.333,96.667,97.222,98.056,98.889,98.611,97.778,97.778,91.944,94.167,98.333,98.333,98.056,97.5,50.556,37.222,A
95,60.278,46.944,42.778,39.444,35,30.833,60.833,78.889,95.278,49.444,45,40.833,35.556,58.056,66.944,74.167,95,58.056,46.667,40,56.667,67.222,74.444,80.556,95,93.056,48.333,57.5,72.222,83.333,85.833,97.5,98.333,96.389,86.389,97.5,98.889,97.778,98.889,98.333,95,56.111,97.778,98.333,98.333,98.611,96.111,40.278,B
75.556,80,83.611,93.611,40,34.722,30.556,64.722,75.556,81.111,76.111,50,40,34.722,64.444,75,90.556,65.556,54.722,46.111,38.889,73.056,90.833,72.5,65.833,58.333,50,42.778,96.667,96.111,73.333,67.778,61.389,54.722,46.389,46.389,50.833,79.167,93.889,65.278,59.167,51.389,36.111,42.222,45.556,48.056,55,94.722,60,C
57.222,89.444,73.056,55.278,44.444,36.389,31.667,93.611,80.556,72.5,63.056,53.611,44.167,36.389,83.611,81.111,75.278,70.278,64.167,55,40.833,85,83.611,82.5,98.611,97.5,97.5,77.222,95.833,86.944,88.056,98.333,98.056,97.5,96.111,91.667,97.778,92.778,97.778,98.889,97.778,96.667,36.111,49.722,97.222,97.778,98.056,97.5,43.611,D
37.222,53.333,97.5,98.333,97.778,97.222,46.667,88.056,98.056,97.5,97.778,98.333,94.722,50.556,96.111,98.333,97.778,98.889,96.667,78.333,53.056,76.389,94.722,98.056,97.778,95.278,70.278,56.389,96.389,98.056,98.889,98.889,98.889,98.056,94.167,96.667,98.333,97.222,99.444,97.778,98.333,96.389,97.5,98.889,98.333,98.889,98.056,93.889,42.5,E
36.389,86.389,98.056,98.889,98.333,98.611,97.5,92.222,97.778,98.611,98.611,98.889,98.056,97.222,95.833,98.333,98.056,98.889,97.778,74.444,62.5,97.778,97.778,97.778,98.333,90,67.778,55.278,97.778,97.778,97.778,98.056,82.222,68.333,51.667,96.389,97.5,98.611,98.333,98.333,96.111,46.389,76.944,98.056,98.056,98.056,98.333,91.944,34.167,F
69.167,62.778,60,64.167,82.5,74.722,42.222,97.222,72.222,70.833,73.333,96.111,60.556,47.5,97.778,78.611,76.944,79.167,96.111,61.389,51.111,97.222,81.667,81.667,94.167,95.556,65,55,94.167,86.667,85,91.944,97.778,72.778,64.167,66.944,97.778,87.5,91.111,98.889,97.778,97.222,39.722,94.167,98.056,98.333,97.778,93.889,43.889,G
39.167,53.889,96.944,97.778,96.667,44.722,35.556,60.556,97.778,94.722,89.444,87.5,77.778,41.111,97.222,98.889,97.5,87.5,83.611,95.556,44.722,97.222,98.889,98.889,79.722,76.667,96.667,50,93.611,97.222,65.833,66.111,70.833,95.833,57.5,38.056,46.111,53.333,57.5,63.333,92.778,65.556,32.778,37.778,43.333,47.778,53.333,92.222,96.667,H
42.778,86.111,56.389,48.889,45,38.889,33.333,84.722,73.611,64.167,57.778,53.889,47.222,40.556,90.278,74.444,69.167,63.889,60.278,58.056,56.111,85,97.5,98.333,72.778,71.944,98.333,96.111,91.389,96.111,66.944,58.889,53.889,50,41.111,93.889,95,55.556,51.389,46.111,42.222,35,96.111,63.611,47.778,43.889,40,35.556,31.389,I
39.722,52.778,73.889,89.167,91.111,94.167,51.667,46.944,59.167,72.5,81.389,86.944,90,95,57.778,69.167,75.278,81.944,84.722,88.889,89.722,97.778,97.778,88.333,88.889,98.056,94.444,92.5,70,75.556,82.222,86.111,97.5,96.667,43.056,56.389,70.278,81.111,93.889,92.778,43.333,36.389,46.111,72.5,94.167,48.889,41.667,36.667,32.222,J
